folder,mat_file,tdms_file,log_no,n_peaks,n_intervals,freq_mean_Hz,freq_std_Hz,freq_median_Hz,freq_MAD_Hz,fft_f0_Hz
01_09_D_120mm_260mm,Up_26_ERp_0.8_PH2p_0_10_3_14.mat,ER1_0.8_log6_01.09.2025_10.03.10.tdms,6,15,14,0.12860448635464602,0.7468812366243821,0.1219155831729843,0.05664892589226934,0.46443980871495977
01_09_D_120mm_260mm,LBO_Sweep_6_10_59_1.mat,ER1_0.85_log6_01.09.2025_10.58.58.tdms,6,17,16,0.15164691918905332,0.20545800310077908,0.13890837796365071,0.07588735871124458,1.2670092831439852
01_09_D_120mm_260mm,Up_45_ERp_0.9_PH2p_0_11_27_46.mat,ER1_0.9_log6_01.09.2025_11.27.39.tdms,6,41,40,0.36347618298685025,0.48069980224409714,0.47361370369793687,0.36826775030687814,0.038152968360879495
01_09_D_120mm_260mm,Up_53_ERp_0.95_PH2p_0_11_53_32.mat,ER1_0.95_log6_01.09.2025_11.53.29.tdms,6,95,94,0.9109602982956944,0.8959610547890565,1.9591356244534253,1.058379266144441,0.006717037131313525
03_09_D_88mm_350mm,Up_8_ERp_0.65_PH2p_0_8_56_35.mat,"ER1_0,65_Log6_03.09.2025_08.56.32.tdms",6,84,83,0.700896965714012,0.4484104434442483,0.6667271165919043,0.07978986172615243,0.641137350009215
03_09_D_88mm_350mm,Up_20_ERp_0.71_PH2p_0_9_4_52.mat,"ER1_0,71_Log6_04.09.2025_09.04.49.tdms",6,279,278,2.329154018334011,0.14269732420785533,2.3296556140760956,0.13747300883504085,2.280379542284968
03_09_D_88mm_350mm,Up_14_ERp_0.7_PH2p_0_9_36_8.mat,"ER1_0,7_Log6_03.09.2025_09.36.05.tdms",6,196,195,1.6358666394872319,0.08176924863766695,1.6385035219633204,0.07675091579325563,1.5982927909965616
03_09_D_88mm_350mm,Up_26_ERp_0.72_PH2p_0_10_14_27.mat,"ER1_0,72_Log6_03.09.2025_10.14.24.tdms",6,259,258,2.160997387739452,0.1528032522143681,2.1696287372386274,0.16697542028866058,2.119117396371186
03_09_D_88mm_350mm,Up_7_ERp_0.6_PH2p_0_11_24_6.mat,"ER1_0,6_Log6_03.09.2025_11.24.02.tdms",6,77,76,0.6461215761741377,0.565334516325372,0.7013651431550314,0.09989857615476719,0.6798519787866071
28_08_D_100mm_260mm,Up_8.271_ERp_0.66_PH2p_0_11_8_57.mat,log6_28.08.2025_11.08.54.tdms,6,16,15,0.13661177799719046,0.2510603337326277,0.13870452745448064,0.0945326959325199,0.017180463426463774
28_08_D_100mm_260mm,Up_14_ERp_0.7_PH2p_0_11_43_22.mat,"ER1_0,7_log6_28.08.2025_11.43.22.tdms",6,20,19,0.18023633118968463,0.1217588437071224,0.20665828185131102,0.10066631221345106,1.4241045989009893
28_08_D_100mm_260mm,Up_22.44_ERp_0.73_PH2p_0_13_3_27.mat,"ER1_0,75_log6_28.08.2025_13.03.20.tdms",6,42,41,0.35081216438613083,0.7066251428566054,0.43639461244667255,0.3500657375019608,0.726278220410625
28_08_D_100mm_260mm,Up_32.33_ERp_0.79_PH2p_0_13_36_52.mat,"ER1_0,8_log6_28.08.2025_13.36.24.tdms",6,96,95,0.7993946680644911,0.5517159116020915,0.8899552530498765,0.4620802549556358,1.4340700401329844
28_08_D_100mm_260mm,Up_42.35_ERp_0.84_PH2p_0_15_17_36.mat,"ER1_0,85_log6_28.08.2025_15.17.33.tdms",6,92,91,0.7804732923840438,0.8941241541031005,1.3325338130455062,0.9174264127545768,0.0067985299067774615
28_08_D_100mm_260mm,Up_51.07_ERp_0.88_PH2p_0_16_7_56.mat,"ER1_0,9_log6_28.08.2025_16.07.54.tdms",6,79,78,0.6541252243743865,0.8697563119815923,0.8938957460928922,0.6805265473302738,0.007776868613732352
28_08_D_100mm_260mm,Up_20_ERp_0.75_PH2p_0_16_50_51.mat,"ER1_0,75_log6_28.08.2025_16.50.48.tdms",6,51,50,0.43981017441024317,0.751808556746347,0.5236388791388074,0.3352333850763213,0.7211071347800804
29_08_D_88mm_260mm,Up_8_ERp_0.6_PH2p_0_12_25_9.mat,"ER1_0,6_log6_29.08.2025_12.25.06.tdms",6,82,81,0.6846601264719401,0.8042431852453277,0.5880191106210951,0.09964027420636119,0.5367587964144427
29_08_D_88mm_260mm,Up_15_ERp_0.65_PH2p_0_12_59_4.mat,"ER1_0,7_log6_29.08.2025_12.59.01.tdms",6,139,138,1.1644387395571678,0.26550044347133,1.1700319786393958,0.11917988560947491,1.08031755132269
29_08_D_88mm_260mm,Up_39.4_ERp_0.76_PH2p_0_13_30_42.mat,"ER1_0,75_log6_29.08.2025_13.30.40.tdms",6,259,258,2.156145229518651,0.37603410271334886,2.226136563684805,0.4114605224410231,2.153337828899347
29_08_D_88mm_260mm,Up_49.7_ERp_0.8_PH2p_0_14_7_5.mat,"ER1_0,8_log6_29.08.2025_14.07.03.tdms",6,240,239,2.0051150400776354,0.4747997716362396,2.1296941120346884,0.4933943700567489,2.194153051946257
29_08_D_88mm_260mm,Up_59.6_ERp_0.83_PH2p_0_14_44_7.mat,"ER1_0,85_log6_29.08.2025_14.44.04.tdms",6,38,37,2.102312384529072,0.6587789049114411,2.420803416237781,0.5546535967213921,0.010783163406549553
02_09_D_88mm_200mm,Up_14_ERp_0.7_PH2p_0_13_45_54.mat,"ER1_0,7_Log6_02.09.2025_13.45.51.tdms",6,95,94,0.7854058885722942,0.5316805983032649,0.8434022047833968,0.31918439069866233,0.6468394169082757
02_09_D_88mm_200mm,Up_28_ERp_0.72_PH2p_0_14_11_55.mat,"ER1_0,72_Log6_02.09.2025_14.11.52.tdms",6,101,100,0.8530062084094964,0.6273787889914116,0.9664615915385341,0.47386971338674305,1.4703785307711534
02_09_D_88mm_200mm,Up_35_ERp_0.75_PH2p_0_14_39_35.mat,"ER1_0,75_Log6_02.09.2025_14.39.33.tdms",6,147,146,1.2179597542384126,0.5888511820030187,1.4523112950542232,0.49887439349071566,1.5366932144817402
02_09_D_88mm_200mm,Up_42_ERp_0.8_PH2p_0_15_3_25.mat,"ER1_0,8_Log6_02.09.2025_15.03.22.tdms",6,102,101,0.8459376649473752,0.7396488211759258,1.2533040227299217,0.7256502112230914,0.006579490292532158
02_09_D_88mm_200mm,Up_53_ERp_0.85_PH2p_0_15_33_38.mat,"ER1_0,85_Log6_02.09.2025_15.33.35.tdms",6,169,168,2.382840755234569,0.56892143657449,2.5531785510661478,0.7143860498866667,0.005401857351690326
