folder,mat_file,tdms_file,log_no,fft_f0_Hz,fft_a0_amp
01_09_D_120mm_260mm,Up_12_ERp_0.7_PH2p_0_9_14_18.mat,ER1_0.7_log4_01.09.2025_09.14.14.tdms,4,0.048828125,0.0616482846896643
01_09_D_120mm_260mm,Up_17.34_ERp_0.78_PH2p_0_9_39_20.mat,ER1_0.75_log4_01.09.2025_09.39.17.tdms,4,0.830078125,0.06229824256874757
01_09_D_120mm_260mm,Up_26_ERp_0.8_PH2p_0_10_3_14.mat,ER1_0.8_log6_01.09.2025_10.03.10.tdms,6,0.537109375,0.15138641481413673
01_09_D_120mm_260mm,LBO_Sweep_6_10_59_1.mat,ER1_0.85_log6_01.09.2025_10.58.58.tdms,6,0.927734375,0.1067256843304598
01_09_D_120mm_260mm,LBO_Sweep_5_11_1_27.mat,ER1_0.85_log5_01.09.2025_11.01.24.tdms,5,1.171875,0.09170372818947775
01_09_D_120mm_260mm,LBO_Sweep_4_11_4_19.mat,ER1_0.85_log4_01.09.2025_11.04.14.tdms,4,1.26953125,0.09047311495740264
01_09_D_120mm_260mm,Up_45_ERp_0.9_PH2p_0_11_27_46.mat,ER1_0.9_log6_01.09.2025_11.27.39.tdms,6,0.048828125,0.26692298990655194
01_09_D_120mm_260mm,Up_45_ERp_0.9_PH2p_0_11_31_27.mat,ER1_0.9_log5_01.09.2025_11.31.07.tdms,5,0.048828125,0.1288460980258855
01_09_D_120mm_260mm,Up_45_ERp_0.9_PH2p_0_11_36_3.mat,ER1_0.9_log4_01.09.2025_11.36.00.tdms,4,0.048828125,0.10406014142301295
01_09_D_120mm_260mm,Up_53_ERp_0.95_PH2p_0_11_53_32.mat,ER1_0.95_log6_01.09.2025_11.53.29.tdms,6,0.048828125,0.33540203466667584
01_09_D_120mm_260mm,Up_53_ERp_0.95_PH2p_0_11_56_8.mat,ER1_0.95_log5_01.09.2025_11.56.05.tdms,5,0.048828125,0.2649380454237757
01_09_D_120mm_260mm,Up_53_ERp_0.95_PH2p_0_12_0_16.mat,ER1_0.95_log4_01.09.2025_12.00.01.tdms,4,0.048828125,0.1665101598556779
03_09_D_88mm_350mm,Up_8_ERp_0.65_PH2p_0_8_56_35.mat,"ER1_0,65_Log6_03.09.2025_08.56.32.tdms",6,0.634765625,0.10004619853234574
03_09_D_88mm_350mm,Up_8_ERp_0.65_PH2p_0_9_2_21.mat,"ER1_0,65_Log4_03.09.2025_09.02.16.tdms",4,0.5859375,0.12372943082501857
03_09_D_88mm_350mm,Up_20_ERp_0.71_PH2p_0_9_4_52.mat,"ER1_0,71_Log6_04.09.2025_09.04.49.tdms",6,2.294921875,0.1262881529004282
03_09_D_88mm_350mm,Up_20_ERp_0.71_PH2p_0_9_7_13.mat,"ER1_0,71_Log5_04.09.2025_09.07.08.tdms",5,2.34375,0.11976173496908626
03_09_D_88mm_350mm,Up_20_ERp_0.71_PH2p_0_9_10_22.mat,"ER1_0,71_Log4_04.09.2025_09.10.18.tdms",4,2.392578125,0.11485658462336895
03_09_D_88mm_350mm,Up_14_ERp_0.7_PH2p_0_9_36_8.mat,"ER1_0,7_Log6_03.09.2025_09.36.05.tdms",6,1.611328125,0.08964028843036566
03_09_D_88mm_350mm,Up_14_ERp_0.7_PH2p_0_9_38_25.mat,"ER1_0,7_Log5_03.09.2025_09.38.22.tdms",5,1.611328125,0.0898228044279231
03_09_D_88mm_350mm,Up_14_ERp_0.7_PH2p_0_9_41_36.mat,"ER1_0,7_Log4_03.09.2025_09.41.33.tdms",4,1.66015625,0.07391339865755218
03_09_D_88mm_350mm,Up_26_ERp_0.72_PH2p_0_10_14_27.mat,"ER1_0,72_Log6_03.09.2025_10.14.24.tdms",6,2.099609375,0.1875561098526087
03_09_D_88mm_350mm,Up_26_ERp_0.72_PH2p_0_10_16_48.mat,"ER1_0,72_Log5_03.09.2025_10.16.43.tdms",5,2.24609375,0.179454102003355
03_09_D_88mm_350mm,Up_26_ERp_0.72_PH2p_0_10_20_19.mat,"ER1_0,72_Log4_03.09.2025_10.20.16.tdms",4,2.392578125,0.18207298934981236
03_09_D_88mm_350mm,Up_7_ERp_0.6_PH2p_0_11_24_6.mat,"ER1_0,6_Log6_03.09.2025_11.24.02.tdms",6,0.68359375,0.08907927481110457
03_09_D_88mm_350mm,Up_7_ERp_0.6_PH2p_0_11_28_3.mat,"ER1_0,6_Log5_03.09.2025_11.28.00.tdms",5,0.732421875,0.08762692905191395
03_09_D_88mm_350mm,Up_7_ERp_0.6_PH2p_0_11_32_12.mat,"ER1_0,6_Log4_03.09.2025_11.32.05.tdms",4,0.732421875,0.09575624748901677
28_08_D_100mm_260mm,Up_8.271_ERp_0.66_PH2p_0_11_0_52.mat,log4_28.08.2025_11.00.24.tdms,4,0.048828125,0.010080700250955168
28_08_D_100mm_260mm,Up_8.271_ERp_0.66_PH2p_0_11_6_14.mat,log5_28.08.2025_11.06.11.tdms,5,0.048828125,0.010816611364568905
28_08_D_100mm_260mm,Up_8.271_ERp_0.66_PH2p_0_11_8_57.mat,log6_28.08.2025_11.08.54.tdms,6,0.048828125,0.009303443720630843
28_08_D_100mm_260mm,Up_14_ERp_0.7_PH2p_0_11_35_39.mat,"ER1_0,7_log4_28.08.2025_11.35.26.tdms",4,1.26953125,0.0147800243612352
28_08_D_100mm_260mm,Up_14_ERp_0.7_PH2p_0_11_40_34.mat,"ER1_0,7_log5_28.08.2025_11.40.36.tdms",5,1.26953125,0.013415965944630641
28_08_D_100mm_260mm,Up_14_ERp_0.7_PH2p_0_11_43_22.mat,"ER1_0,7_log6_28.08.2025_11.43.22.tdms",6,1.025390625,0.0133430002203128
28_08_D_100mm_260mm,Up_22.44_ERp_0.73_PH2p_0_12_55_13.mat,"ER1_0,75_log4_28.08.2025_12.55.13.tdms",4,0.732421875,0.0668797396448929
28_08_D_100mm_260mm,Up_22.44_ERp_0.73_PH2p_0_13_0_52.mat,"ER1_0,75_log5_28.08.2025_13.00.49.tdms",5,0.634765625,0.03469346722592976
28_08_D_100mm_260mm,Up_22.44_ERp_0.73_PH2p_0_13_3_27.mat,"ER1_0,75_log6_28.08.2025_13.03.20.tdms",6,0.537109375,0.02500417487784178
28_08_D_100mm_260mm,Up_32_ERp_0.8_PH2p_0_13_28_47.mat,"ER1_0,8_log4_28.08.2025_13.28.43.tdms",4,0.048828125,0.05395132359285519
28_08_D_100mm_260mm,Up_32.76_ERp_0.78_PH2p_0_13_33_45.mat,"ER1_0,8_log5_28.08.2025_13.33.45.tdms",5,0.048828125,0.06676804213748797
28_08_D_100mm_260mm,Up_32.33_ERp_0.79_PH2p_0_13_36_52.mat,"ER1_0,8_log6_28.08.2025_13.36.24.tdms",6,1.025390625,0.13691003659597595
28_08_D_100mm_260mm,Up_42.35_ERp_0.84_PH2p_0_15_4_31.mat,"ER1_0,85_log4_28.08.2025_15.04.22.tdms",4,0.78125,0.19117676438407624
28_08_D_100mm_260mm,Up_42.35_ERp_0.84_PH2p_0_15_14_24.mat,"ER1_0,85_log5_28.08.2025_15.14.21.tdms",5,1.513671875,0.11604634054918339
28_08_D_100mm_260mm,Up_42.35_ERp_0.84_PH2p_0_15_17_36.mat,"ER1_0,85_log6_28.08.2025_15.17.33.tdms",6,0.048828125,0.16208628168314404
28_08_D_100mm_260mm,Up_51.07_ERp_0.88_PH2p_0_15_59_28.mat,"ER1_0,9_log4_28.08.2025_15.59.24.tdms",4,0.048828125,0.09268584378519935
28_08_D_100mm_260mm,Up_51.07_ERp_0.88_PH2p_0_16_7_56.mat,"ER1_0,9_log6_28.08.2025_16.07.54.tdms",6,0.048828125,0.08164700487705873
28_08_D_100mm_260mm,Up_20_ERp_0.75_PH2p_0_16_44_18.mat,"ER1_0,75_log4_28.08.2025_16.44.06.tdms",4,0.68359375,0.06301503872205282
28_08_D_100mm_260mm,Up_20_ERp_0.75_PH2p_0_16_48_32.mat,"ER1_0,75_log5_28.08.2025_16.48.09.tdms",5,0.78125,0.06465479859172982
28_08_D_100mm_260mm,Up_20_ERp_0.75_PH2p_0_16_50_51.mat,"ER1_0,75_log6_28.08.2025_16.50.48.tdms",6,0.537109375,0.05605091240744582
29_08_D_88mm_260mm,Up_8_ERp_0.6_PH2p_0_12_18_10.mat,"ER1_0,6_log4_29.08.2025_12.18.07.tdms",4,0.68359375,0.13875787871979334
29_08_D_88mm_260mm,Up_8_ERp_0.6_PH2p_0_12_22_39.mat,"ER1_0,6_log5_29.08.2025_12.22.22.tdms",5,0.537109375,0.11865573307962322
29_08_D_88mm_260mm,Up_8_ERp_0.6_PH2p_0_12_25_9.mat,"ER1_0,6_log6_29.08.2025_12.25.06.tdms",6,0.537109375,0.13006320182783668
29_08_D_88mm_260mm,Up_15_ERp_0.65_PH2p_0_12_52_22.mat,"ER1_0,7_log4_29.08.2025_12.52.19.tdms",4,1.318359375,0.3300479111696203
29_08_D_88mm_260mm,Up_15_ERp_0.65_PH2p_0_12_56_43.mat,"ER1_0,7_log5_29.08.2025_12.56.39.tdms",5,1.171875,0.38866355634829025
29_08_D_88mm_260mm,Up_15_ERp_0.65_PH2p_0_12_59_4.mat,"ER1_0,7_log6_29.08.2025_12.59.01.tdms",6,1.123046875,0.33908718951183664
29_08_D_88mm_260mm,Up_39.4_ERp_0.76_PH2p_0_13_24_9.mat,"ER1_0,75_log4_29.08.2025_13.24.05.tdms",4,2.294921875,0.196263435452238
29_08_D_88mm_260mm,Up_39.4_ERp_0.76_PH2p_0_13_28_24.mat,"ER1_0,75_log5_29.08.2025_13.28.19.tdms",5,2.099609375,0.17504831284200975
29_08_D_88mm_260mm,Up_39.4_ERp_0.76_PH2p_0_13_30_42.mat,"ER1_0,75_log6_29.08.2025_13.30.40.tdms",6,2.197265625,0.16700191815091758
29_08_D_88mm_260mm,Up_49.7_ERp_0.8_PH2p_0_14_7_5.mat,"ER1_0,8_log6_29.08.2025_14.07.03.tdms",6,2.197265625,0.16802655448868725
29_08_D_88mm_260mm,Up_49.7_ERp_0.8_PH2p_0_14_10_21.mat,"ER1_0,8_log5_29.08.2025_14.10.19.tdms",5,1.806640625,0.03254245779965149
29_08_D_88mm_260mm,Up_49.7_ERp_0.8_PH2p_0_14_13_17.mat,"ER1_0,8_log4_29.08.2025_14.13.14.tdms",4,0.048828125,0.034973431874004736
29_08_D_88mm_260mm,Up_59.6_ERp_0.83_PH2p_0_14_44_7.mat,"ER1_0,85_log6_29.08.2025_14.44.04.tdms",6,0.048828125,0.021128648129476756
29_08_D_88mm_260mm,Up_59.6_ERp_0.83_PH2p_0_14_49_23.mat,"ER1_0,85_log4_29.08.2025_14.49.20.tdms",4,2.44140625,0.035056082913605804
29_08_D_88mm_260mm,Up_59.6_ERp_0.83_PH2p_0_14_57_10.mat,"ER1_0,85_log5_29.08.2025_14.57.06.tdms",5,0.048828125,0.0336021815106279
02_09_D_88mm_200mm,Up_14_ERp_0.7_PH2p_0_13_45_54.mat,"ER1_0,7_Log6_02.09.2025_13.45.51.tdms",6,0.732421875,0.15940559607427882
02_09_D_88mm_200mm,Up_14_ERp_0.7_PH2p_0_13_48_20.mat,"ER1_0,7_Log5_02.09.2025_13.48.17.tdms",5,0.634765625,0.11587916156026452
02_09_D_88mm_200mm,Up_14_ERp_0.7_PH2p_0_13_50_51.mat,"ER1_0,7_Log4_02.09.2025_13.50.45.tdms",4,0.439453125,0.11157985422048095
02_09_D_88mm_200mm,Up_28_ERp_0.72_PH2p_0_14_11_55.mat,"ER1_0,72_Log6_02.09.2025_14.11.52.tdms",6,0.68359375,0.05292806661905805
02_09_D_88mm_200mm,Up_28_ERp_0.72_PH2p_0_14_14_21.mat,"ER1_0,72_Log5_02.09.2025_14.14.13.tdms",5,0.87890625,0.030019352422490028
02_09_D_88mm_200mm,Up_28_ERp_0.72_PH2p_0_14_18_17.mat,"ER1_0,72_Log4_02.09.2025_14.18.14.tdms",4,0.927734375,0.05373276408151886
02_09_D_88mm_200mm,Up_35_ERp_0.75_PH2p_0_14_39_35.mat,"ER1_0,75_Log6_02.09.2025_14.39.33.tdms",6,1.3671875,0.07926031418805506
02_09_D_88mm_200mm,Up_35_ERp_0.75_PH2p_0_14_41_60.mat,"ER1_0,75_Log5_02.09.2025_14.41.57.tdms",5,0.927734375,0.06652765950358781
02_09_D_88mm_200mm,Up_35_ERp_0.75_PH2p_0_14_46_52.mat,"ER1_0,75_Log4_02.09.2025_14.46.50.tdms",4,1.416015625,0.03442174431110342
02_09_D_88mm_200mm,Up_42_ERp_0.8_PH2p_0_15_3_25.mat,"ER1_0,8_Log6_02.09.2025_15.03.22.tdms",6,1.3671875,0.06481128910124105
02_09_D_88mm_200mm,Up_42_ERp_0.8_PH2p_0_15_6_2.mat,"ER1_0,8_Log5_02.09.2025_15.06.00.tdms",5,0.927734375,0.05378133698466953
02_09_D_88mm_200mm,Up_42_ERp_0.8_PH2p_0_15_10_28.mat,"ER1_0,8_Log4_02.09.2025_15.10.22.tdms",4,0.048828125,0.08986521533591901
02_09_D_88mm_200mm,Up_53_ERp_0.85_PH2p_0_15_33_38.mat,"ER1_0,85_Log6_02.09.2025_15.33.35.tdms",6,0.048828125,0.17815700269571957
02_09_D_88mm_200mm,Up_53_ERp_0.85_PH2p_0_15_38_33.mat,"ER1_0,85_Log5_02.09.2025_15.38.31.tdms",5,0.048828125,0.06101162940308733
02_09_D_88mm_200mm,Up_53_ERp_0.85_PH2p_0_15_42_3.mat,"ER1_0,85_Log4_02.09.2025_15.42.00.tdms",4,1.416015625,0.06312418445465501
