filename,start_idx,stop_idx
LBO_Sweep_1_8_39_29.mat,500000,750000
LBO_Sweep_1_8_47_59.mat,500000,1100000
LBO_Sweep_1_9_18_52.mat,750000,1250000
LBO_Sweep_1_9_48_47.mat,400000,1100000
LBO_Sweep_1_11_1_15.mat,0,700000
LBO_Sweep_2_8_46_19.mat,500000,800000
LBO_Sweep_2_8_54_8.mat,600000,1250000
LBO_Sweep_2_9_25_18.mat,700000,1300000
LBO_Sweep_2_9_53_29.mat,400000,1000000
LBO_Sweep_2_11_7_56.mat,50000,550000
LBO_Sweep_3_8_52_36.mat,650000,900000
LBO_Sweep_3_9_0_6.mat,600000,1200000
LBO_Sweep_3_9_30_56.mat,600000,1250000
LBO_Sweep_3_9_58_33.mat,400000,1100000
LBO_Sweep_3_11_14_33.mat,0,600000
LBO_Sweep_1_11_55_49.mat,0,500000
LBO_Sweep_1_12_1_18.mat,0,500000
LBO_Sweep_1_12_34_38.mat,700000,1100000
LBO_Sweep_1_13_7_27.mat,0,350000
LBO_Sweep_1_13_48_21.mat,450000,1400000
LBO_Sweep_1_14_25_40.mat,1000000,1400000
LBO_Sweep_2_12_6_40.mat,0,500000
LBO_Sweep_2_12_41_26.mat,700000,1150000
LBO_Sweep_2_13_12_55.mat,0,1200000
LBO_Sweep_2_13_55_45.mat,550000,1350000
LBO_Sweep_2_14_32_38.mat,1500000,1730000
LBO_Sweep_3_12_11_38.mat,0,400000
LBO_Sweep_3_12_46_37.mat,600000,1100000
LBO_Sweep_3_13_19_5.mat,0,1100000
LBO_Sweep_3_14_2_7.mat,300000,1220000
Up_39.4_ERp_0.76_PH2p_0_13_35_38.mat,0,3000000
Up_49.7_ERp_0.8_PH2p_0_14_13_17.mat,0,4000000
Up_59.6_ERp_0.83_PH2p_0_14_44_7.mat,0,1000000
Up_59.6_ERp_0.83_PH2p_0_14_57_10.mat,0,5000000
LBO_Sweep_1_13_55_31.mat,400000,700000
LBO_Sweep_1_14_28_9.mat,300000,900000
LBO_Sweep_1_14_51_17.mat,450000,900000
LBO_Sweep_1_15_22_1.mat,0,650000
LBO_Sweep_2_14_0_45.mat,500000,850000
LBO_Sweep_2_14_32_13.mat,400000,850000
LBO_Sweep_2_14_55_20.mat,600000,1000000
LBO_Sweep_2_15_26_6.mat,400000,1050000
LBO_Sweep_3_13_30_40.mat,600000,900000
LBO_Sweep_3_13_41_5.mat,550000,800000
LBO_Sweep_3_14_5_7.mat,600000,1000000
LBO_Sweep_3_14_36_10.mat,350000,850000
LBO_Sweep_3_15_0_6.mat,500000,900000
LBO_Sweep_3_15_30_12.mat,500000,900000
Up_53_ERp_0.85_PH2p_0_15_33_38.mat,0,3500000
LBO_Sweep_1_14_29_5.mat,500000,900000
LBO_Sweep_1_15_31_5.mat,800000,1200000
LBO_Sweep_2_15_47_16.mat,800000,1100000
LBO_Sweep_3_15_53_6.mat,650000,1100000
LBO_Sweep_3_16_37_52.mat,450000,800000
Up_32.76_ERp_0.78_PH2p_0_13_33_45.mat,0,5000000
Up_42.35_ERp_0.84_PH2p_0_15_17_36.mat,0,3000000
Up_51.07_ERp_0.88_PH2p_0_15_59_28.mat,0,5300000
Up_51.07_ERp_0.88_PH2p_0_16_7_56.mat,0,5000000